chrom	w_start	w_end	symbol
chr1	236212305	237267816	HEATR1
chr1	65386335	66607242	LEPR
chr19	37729203	38770226	ZNF573
chr6	143916021	144916710	SF3B5
chr7	44146226	45248665	OGDH
chr1	23569961	24588549	ELOA
chr19	52907668	53926681	ZNF888
chr5	71612488	72710215	TNPO1
chr16	53132065	54237771	RPGRIP1L
chr15	100642794	101691906	ASB7
chr7	142485444	143504789	CASP2
chr19	38393733	39399728	FAM98C
chr13	97294088	98546374	MBNL2
chr19	10459091	11480466	C19orf38
chr14	56546516	57616233	TMEM260
chr2	160628662	161850318	RBMS1
chr10	124190417	125213743	C10orf88
chr17	73021778	74071290	LLGL2
chr16	0	950754	NME4
chr4	80322300	81494626	ANTXR2
chr1	160148536	161181612	CD48
chr16	70221342	71335061	VAC14
chr11	64921072	65930387	RELA
chr16	67477377	68502597	SLC12A4
chr1	158301141	159319292	MNDA
chr17	4823502	5836197	RPAIN
chr14	21058236	22072881	ZNF219
chr14	22840949	23850922	LRP10
chr1	230999502	232058033	EGLN1
chr19	47825194	48846581	CRX
chr1	206358250	207407626	MAPKAPK2
chr17	78591095	79640021	AATK
chr11	2522159	3578653	CARS1
chr3	11331916	12388359	TAMM41
chr6	37287503	38622400	ZFAND3
chr2	131305449	132351033	FAM168B
chr4	163547860	164588042	NAF1
chr12	54349741	55367386	GTSF1
chr22	18060756	19088162	PEX26
chr13	45415480	46465618	TPT1-AS1
chr5	131146969	132205608	MIR3936HG
chr3	141525452	142666879	XRN1
chr15	89873831	90937226	AP3S2
chr5	162364577	163375205	CCNG1
chr1	156237327	157270607	PRCC
chr6	122220696	123254264	HSF2
chr6	29957286	30961971	HLA-E
chr18	47253563	48292865	CFAP53
chr8	58965820	59995417	SDCBP
chr7	72354736	73436623	BAZ1B
chr1	165296851	166380855	UCK2
chr20	32603407	33628762	DYNLRB1
chr17	78502933	79508519	BAIAP2-DT
chr17	32955749	33969322	NLE1
chr12	31759781	33036567	BICD1
chr9	135695612	136703025	SURF6
chr13	80410111	81415261	SPRY2
chr15	74201630	75226299	SEMA7A
chr4	163915842	164941691	TMA16
chr1	1939976	2958035	PANK4
chr7	36392511	37988929	ELMO1
chr22	26379843	27390624	SRRD
chr10	71507085	72543760	NPFFR1
chr1	25626684	26644712	SELENON
chr20	47162849	48213486	CSE1L
chr4	138585251	139663503	SLC7A11
chr19	13517014	14541692	CC2D1A
chr19	58555431	59562082	TRIM28
chr9	35312957	36315039	HINT2
chr14	95052565	96124347	DICER1
chr16	46995210	48235434	PHKB
chr14	38223205	39225298	CLEC14A
chr2	23790456	24799196	SF3B6
chr3	49006381	50073048	DAG1
chr5	69720768	70748842	SMN1
chr16	86836420	87850998	C16orf95
chr2	197351386	198675504	ANKRD44
chr10	16770240	17779592	VIM
chr11	5184425	6206304	TRIM5
chr13	26328266	27479375	CDK8
chr9	113622965	114746663	ECPAS
chr5	137704610	138711024	LRRTM2
chr3	183563973	184579393	CLCN2
chr19	36657836	37714257	ZNF567
chr12	132802089	133838418	ANKLE2
chr17	58255212	59970192	BCAS3
chr2	64251462	65320139	AFTPH
chr3	42447634	43460826	ZNF662
chr10	125807861	126932947	FAM53B
chr11	65158144	66159106	CCDC85B
chr15	39827891	40831403	SRP14
chr11	69616796	70730502	PPFIA1
chr9	112506090	113518787	TXN
chr15	90228152	91272893	SEMA4B
chr22	31514477	32558550	PISD
chr9	139583128	140584818	SSNA1
chr7	99113219	100142997	ZKSCAN1
chr7	5701410	6812255	CYTH3
chr9	33586385	34626696	DCAF12
chr15	74238318	75253529	UBL7
chr2	66162257	67301001	MEIS1
chr12	55860614	56866573	CDK2
chr10	81667585	82696871	PRXL2A
chr4	56759528	57801781	PPAT
chr6	27749349	28770326	PGBD1
chr2	99113724	100271429	TSGA10
chr3	127283628	128372757	RUVBL1
chr1	21879202	22927853	CDC42
chr9	33829567	34843697	NUDT2
chr12	6523744	7532860	ENO2
chr9	133749038	134875580	PRRC2B
chr20	47929365	49008779	SLC9A8
chr20	32962792	34015762	ACSS2
chr8	8059447	9061606	CLDN23
chr9	139334887	140339190	FBXW5
chr6	46945525	48094999	CD2AP
chr13	41531686	42545007	RGCC
chr2	135309862	136428280	RAB3GAP1
chr4	10894774	11930518	HS3ST1
chr5	158936146	159992550	TTC1
chr2	105861369	107010728	NCK2
chr7	88834	1267313	PRKAR1B
chr10	73592621	74614677	DNAJB12
chr13	21446710	22533442	ZDHHC20
chr20	24429905	25440564	CST7
chr4	153039780	154101149	TMEM154
chr7	96247010	97311075	SDHAF3
chr1	37440181	38449978	ZC3H12A
chr17	70830523	72140584	SDK2
chr6	42395740	43407032	CNPY3
chr19	2319866	3336733	ZNF554
chr3	49257349	50261384	GMPPB
chr12	1300236	2397840	ADIPOR2
chr8	39271410	40286309	IDO1
chr2	177595031	178629455	NFE2L2
chr21	18484004	19486432	BTG3-AS1
chr13	45467451	46492508	SLC25A30
chr16	89224184	90236866	SPATA33
chr2	70857764	71877231	MPHOSPH10
chr4	148058936	149105314	PRMT9
chr16	29625426	30634541	MAPK3
chr19	49979725	51028629	VRK3
chr11	66910026	67918201	ACY3
chr1	1659758	2741652	SKI
chr8	11200033	12225596	CTSB
chr1	149400543	150408772	MTMR11
chr6	159710844	160719461	MRPL18
chr11	63716529	64719129	LINC02724
chr21	37029122	38166572	DOP1B
chr10	96971521	98137023	ENTPD1
chr17	26547003	27551377	RPL23A
chr19	769331	1774879	CIRBP
chr12	10351688	11375922	YBX3
chr5	138109441	139118873	SNHG4
chr9	100383257	101454919	CORO2A
chr16	80540819	81566712	CENPN
chr19	42511458	43532633	CEACAM1
chr4	46987292	48095503	ATP10D
chr10	125990388	127025236	ABRAXAS2
chr6	43097277	44108678	MAD2L1BP
chr19	14140372	15176792	TECR
chr12	56362362	57373492	SPRYD4
chr14	21590057	22590720	TRAV1-1
chr6	142572606	143766313	HIVEP2
chr3	171257368	172619459	FNDC3B
chr6	27846598	28867524	ZSCAN12
chr2	108650127	109803702	LIMS1
chr17	3117922	4204482	ITGAE
chr6	21166644	22696049	CASC15
chr11	18001858	19048489	TSG101
chr19	44849554	45892480	NECTIN2
chr12	50657884	51714945	ATF1
chr1	16024349	17039147	ARHGEF19
chr1	43957271	44962200	CCDC24
chr7	99669851	100671523	SAP25
chr11	74610562	75633346	RPS3
chr15	89828126	90858084	ANPEP
chr11	65932469	66945358	RBM4B
chr9	138506435	139510721	TMEM250
chr12	53401640	54520166	ATF7
chr17	42840486	43894386	MAP3K14
chr1	33111000	34147644	TRIM62
chr12	31300094	32326048	ETFBKMT
chr5	134170071	135235577	MACROH2A1
chr2	219610201	220615059	STK16
chr16	67779276	68794961	PLA2G15
chr6	31658543	32663300	GPSM3
chr8	133548973	134614846	SLA
chr19	54158899	55163459	LENG1
chr10	103738986	104762469	ACTR1A
chr17	72814157	73901759	GRB2
chr4	143758029	144895718	GAB1
chr5	53313589	54342416	SNX18
chr12	47936680	48999862	SENP1
chr20	2627165	3640511	FASTKD5
chr1	5552736	6661240	KCNAB2
chr9	130000596	131040945	SH2D3C
chr16	23114486	24152631	PALB2
chr16	58053855	59163730	CNOT1
chr12	65063363	66142135	LEMD3
chr17	36386594	37391858	CISD3
chr2	219903676	220908531	CHPF
chr14	24047871	25084158	NRL
chr7	24336156	25519797	OSBPL3
chr8	145602340	146627562	ZNF250
chr1	111228591	112247200	DENND2D
chr12	101286894	102301598	ARL1
chr16	1803117	2818127	RNPS1
chr17	4340425	5343341	SLC25A11
chr1	230614840	231636479	ARV1
chr9	137966771	138978958	LINC01502
chr1	155416645	156449408	ARHGEF2
chr7	0	800738	FAM20C
chr7	148392638	149423334	ZNF282
chr22	30227977	31252883	SF3A1
chr3	52367137	53369035	MUSTN1
chr15	22504684	23534402	NIPA2
chr19	57841667	58857606	ZNF587B
chr10	4954520	6001019	NET1
chr13	48149860	49169240	MED4
chr1	36190044	37270958	THRAP3
chr1	169930458	171001750	GORAB-AS1
chr4	25665080	26936753	RBPJ
chr19	15722699	16745044	RAB8A
chr19	56489243	57506806	ZNF667-AS1
chr1	200109933	201139035	DDX59
chr19	2552908	3562964	TLE5
chr2	30170112	31367091	LCLAT1
chr12	110219052	111288898	ATP2A2
chr9	33866664	34876896	MYORG
chr3	118430589	119459725	B4GALT4
chr19	42301185	43306952	PAFAH1B3
chr12	123349495	124350351	SBNO1-AS1
chr15	74628459	75635497	ULK3
chr3	197018097	198115307	LRCH3
chr14	23290666	24295372	PABPN1
chr15	42205021	43283339	ZNF106
chr12	122256016	123407216	CLIP1
chr7	72613540	73633999	STX1A
chr15	100607129	101642389	LINS1
chr19	38365211	39374464	PSMD8
chr1	242919343	244163393	SDCCAG8
chr5	133360006	134418917	JADE2
chr8	37627222	38739789	NSD3
chr19	41360322	42370054	B9D2
chr17	6620444	7628585	ACADVL
chr22	19211062	20212294	GP1BB
chr5	178764276	179785817	MRNIP
chr6	116456781	117489929	ZUP1
chr7	107710318	108715294	DNAJB9
chr19	4139528	5155580	TNFAIP8L1
chr19	53398402	54430574	ZNF765
chr14	31069323	32176999	HECTD1
chr2	200276016	201292996	C2orf69
chr16	28199879	29247051	EIF3C
chr9	133899188	134906650	UCK1
chr3	169184595	170216161	SEC62
chr20	61084061	62100937	SLC17A9
chr2	190502503	191568210	C2orf88
chr10	6700586	7953452	SFMBT2
chr14	102283843	103308704	ZNF839
chr20	44474623	45493064	SLC35C2
chr16	8391696	9443182	PMM2
chr6	41237914	42247638	FRS3
chr1	32073657	33142164	KPNA6
chr15	41295835	42306025	LTK
chr17	61404791	62409379	PSMC5
chr2	96350597	97374565	STARD7
chr1	84472069	85533062	SPATA1
chr10	119557437	120601836	FAM204A
chr1	40945368	41978237	CTPS1
chr3	57242036	58415740	SLMAP
chr1	153401977	154419194	DENND4B
chr15	64156503	65179886	PCLAF
chr17	73805559	74850279	PRPSAP1
chr5	38438022	39574501	RICTOR
chr3	184804083	185851339	SENP2
chr17	75626852	76639049	TMC8
chr20	33366709	34372575	EIF6
chr4	152521905	153525872	LINC02273
chr12	600389	2105099	ERC1
chr4	20197905	21254523	PACRGL
chr13	20477808	21599996	CRYL1
chr2	26940237	27966811	CAD
chr7	30134351	31173649	GARS1
chr17	20402909	21446324	USP22
chr8	99525502	101389808	VPS13B
chr7	584182	1598897	GPR146
chr2	231818242	232829195	NCL
chr2	23752217	24770261	WDCP
chr20	32648346	33764896	PIGU
chr19	18053473	19132880	ELL
chr7	37888956	38889425	TRGV5
chr1	178494939	179545702	FAM20B
chr17	71709710	72758159	TTYH2
chr14	106548670	107549120	IGHV3-53
chr2	27386756	28417836	SLC4A1AP
chr19	55390612	56395660	TMEM238
chr12	55714769	56724559	DNAJC14
chr19	57401222	58414360	ZNF548
chr2	74381374	75410968	SEMA4F
chr2	241007901	242020789	RNPEPL1
chr2	218933562	219961803	CNOT9
chr3	51821844	52829273	GLYCTK
chr2	121595352	122907038	CLASP1
chr2	29954400	30982894	LBH
chr19	41392279	42403264	EXOSC5
chr19	12402300	13404129	JUNB
chr6	151273601	152291236	ARMT1
chr19	5416150	6478151	RANBP3
chr8	145234453	146236596	MFSD3
chr10	22884508	23910942	MSRB2
chr17	73475321	74496667	TEN1
chr1	61708152	63129587	PATJ
chr12	110310705	111341513	ANAPC7
chr20	35645819	36656278	BLCAP
chr22	23415312	24422477	IGLL1
chr3	87341856	88542989	HTR1F
chr10	85399265	86413324	GHITM
chr14	22915437	23926299	HAUS4
chr19	9023105	10046249	ZNF266
chr13	71512098	72941342	DACH1
chr12	54841799	55878546	TESPA1
chr7	103266788	104348461	ORC5
chr19	29914564	31007519	URI1
chr3	13666552	14685180	TMEM43
chr4	139872829	140875195	RAB33B-AS1
chr9	132316185	133402443	GPR107
chr17	6952375	7961198	TNFSF12
chr4	74402306	75404406	CXCL3
chr1	18901004	20036760	UBR4
chr11	45368669	46404795	CRY2
chr15	67313469	68322484	C15orf61
chr18	4738099	5746507	LINC00667
chr17	72952716	73996533	TMEM94
chr17	46126232	47167603	HOXB3
chr16	73830712	74840186	PSMD7
chr12	9405082	10413497	CD69
chr5	177529665	178554051	CLK4
chr1	89590408	90598453	LRRC8C-DT
chr5	172534148	173543653	BOD1
chr15	67999330	69022066	CLN6
chr6	151477807	152950754	ESR1
chr11	82184175	83282939	RAB30
chr9	135705149	136714986	MED22
chr3	9568121	10643616	FANCD2
chr1	9770628	10941661	KIF1B
chr5	7957800	8963209	MIR4458HG
chr17	37413968	38520565	IKZF3
chr11	117901907	118918001	TMEM25
chr7	76928090	78086821	PHTF2
chr5	137782413	139034057	SIL1
chr4	25415842	26431434	SMIM20
chr17	42971274	44010236	ARHGAP27
chr6	51785140	52861996	EFHC1
chr10	75032034	76035977	FUT11
chr11	63994383	65012928	RASGRP2
chr15	48530135	49603266	CEP152
chr4	88428787	89498929	PKD2
chr16	81681767	82703829	MPHOSPH6
chr17	29969521	31052746	RHOT1
chr19	36206008	37229670	ZNF146
chr9	35536910	36624452	RECK
chr15	101673180	102692584	TM2D3
