Tissue	h2_ge_t	h2_ge_t_se	NomP	FDRP	Proph2	Proph2_se
Adipose_Subcutaneous	-0.00764134318690469	0.00415060461926454	0.96719063434889	0.993330921763725	-0.022912573274077	0.0124455910622625
Adipose_Visceral_Omentum	-0.00196457270739929	0.00404730181805241	0.686304770678928	0.957339631089859	-0.00589077273582995	0.0121358375353895
Artery_Aorta	-0.0026500189936588	0.00633049174347579	0.662250093807148	0.957339631089859	-0.0079460839390069	0.0189819842383082
Artery_Tibial	-0.00275579731964729	0.00500305260039051	0.709122552201698	0.957339631089859	-0.00826326032877748	0.0150016569726852
B_intermediate	0.0022509749446315	0.00144288186403286	0.0593734521925854	0.752063727772748	0.00674955005886507	0.00432648235092312
B_memory	-0.000827154744685833	0.000905470838018214	0.81951225416096	0.960449129693449	-0.0024802241219965	0.00271505498656136
B_naive	-0.00226295089670211	0.00123610892608035	0.966427713157334	0.993330921763725	-0.00678545996012627	0.00370647354147031
Brain_BasalGanglia	0.00307436984044501	0.00332296089500299	0.177433569515419	0.803168721545959	0.00921850027119943	0.00996390073464165
Brain_Cerebellum	0.0113026440268001	0.00681089519419813	0.0485080805337192	0.752063727772748	0.0338909865871067	0.0204224743454217
Brain_Cortex	-0.00153155628005379	0.00168094444974961	0.818886146233287	0.960449129693449	-0.00459237265383445	0.0050403131926525
Brain_Limbic	-0.00290520520876581	0.00270628993884517	0.858476825855542	0.960449129693449	-0.00871125999629928	0.00811481241033035
Breast_Mammary_Tissue	0.000769922155274263	0.00343529551945964	0.411331543588451	0.957339631089859	0.00230861215974292	0.0103007361902838
CD14_Mono	-0.000248701262490631	0.00123497768686015	0.579799734593331	0.957339631089859	-0.000745730922010888	0.00370308151982054
CD16_Mono	-0.000445559516827473	0.00101585940972898	0.669525578372534	0.957339631089859	-0.00133601054520981	0.00304605520158615
CD4_Naive	-0.0010162024471399	0.00167530969796234	0.727933792955063	0.957339631089859	-0.00304708379951994	0.00502341738519442
CD4_TCM	-0.0026833965854547	0.00249062216887251	0.859349221304665	0.960449129693449	-0.00804616667302759	0.00746813244039733
CD4_TEM	0.00083357919751038	0.00124970198023744	0.252378916969943	0.879162575469467	0.00249948784860684	0.00374723232455004
CD8_Naive	0.00138524532329433	0.00111492956796751	0.107035109885898	0.803168721545959	0.00415365914031283	0.00334311714532986
CD8_TCM	-0.000194970240966428	0.00125830147148151	0.561568513343175	0.957339631089859	-0.000584618413692438	0.00377301790549178
CD8_TEM	0.00157803138704454	0.00179920698613016	0.190224170892464	0.803168721545959	0.00473172829698513	0.00539492349664216
Cells_Cultured_fibroblasts	0.0038638321815602	0.00393666351059046	0.163173308399399	0.803168721545959	0.0115857036928342	0.0118040884875276
Colon_Sigmoid	-0.00126943653203807	0.0034112942660443	0.64510105252418	0.957339631089859	-0.00380640639291775	0.0102287684139259
Colon_Transverse	-0.00152418753135044	0.00308608493403595	0.689308185740129	0.957339631089859	-0.00457027745532366	0.00925362798811379
Esophagus_Mucosa	-0.00150777925512229	0.00376055241916346	0.655770137995988	0.957339631089859	-0.00452107722675349	0.0112760192478664
Esophagus_Muscularis	0.00236938549813513	0.00466273792150095	0.305672931571074	0.893505492284678	0.00710460419230923	0.0139812231529264
gdT	-0.00257975927860419	0.000830984232403916	0.999046874124301	0.999046874124301	-0.0077354101307472	0.00249170684378985
Heart_Atrial_Appendage	0.00250315667994867	0.00424338855157904	0.277630286990358	0.879162575469467	0.00750571718125538	0.0127238037528607
Heart_Left_Ventricle	-0.00581647720657112	0.00358215773691573	0.947783880049138	0.993330921763725	-0.0174407112640813	0.0107411026594175
Lung	-0.00269956839244663	0.004392166244788	0.730601297410682	0.957339631089859	-0.00809465784841568	0.0131699137774753
Muscle_Skeletal	0.00319165643761903	0.00292416124350995	0.137531395949283	0.803168721545959	0.00957018422074672	0.0087680996806895
Nerve_Tibial	0.0130470340906303	0.00551616821479773	0.00900931684191015	0.342354039992586	0.0391215415011403	0.0165402345271296
NK	0.00296710478687269	0.00312240057097775	0.170989068766279	0.803168721545959	0.00889686592765424	0.0093625204527069
NK_CD56bright	-0.00059729131690286	0.00076431229179892	0.782738554351571	0.960449129693449	-0.00179097846147784	0.00229179097990681
Skin_Not_Sun_Exposed_Suprapubic	-0.000435281376020626	0.00481331259918825	0.536028356916652	0.957339631089859	-0.00130519153229573	0.0144327214368463
Skin_Sun_Exposed_Lower_leg	0.00154619407639261	0.00438525311005062	0.362198115920333	0.957339631089859	0.00463626409712926	0.013149184737783
Thyroid	-0.00153975902204435	0.00521379822403203	0.616126754745938	0.957339631089859	-0.00461696858184213	0.0156335778831545
Treg	0.00161568093920248	0.00245613472985553	0.255328681038501	0.879162575469467	0.00484462050735376	0.00736472182865226
Whole_Blood	0.000848294867102808	0.00319486735547802	0.395305213434109	0.957339631089859	0.00254361279491097	0.00957981216035388
AllTissues	0.00805013713066672	0.00410640468344523	0.0249753614183923	NA	0.0241383422208897	0.0123130575215749
