Tissue	h2_ge_t	h2_ge_t_se	NomP	FDRP	Proph2	Proph2_se
Adipose_Subcutaneous	-0.00323511281249073	0.00824591386412024	0.652592505486332	0.976649731002711	-0.0184231936929996	0.0469585071988624
Adipose_Visceral_Omentum	-0.0104766940289267	0.00726902378539782	0.925247113581516	0.976649731002711	-0.059662266679537	0.0413953518530628
Artery_Aorta	-0.0123696349995937	0.0126493085498998	0.835935686283156	0.976649731002711	-0.0704421127539505	0.0720347867306367
Artery_Tibial	-0.0129447023172437	0.00691492565763918	0.969396312965885	0.985414581416807	-0.0737169835833924	0.0393788477086514
B_intermediate	-0.00169228898551726	0.0012549257791362	0.911253952480876	0.976649731002711	-0.00963718101091834	0.00714650215908998
B_memory	0.000886412734294932	0.00146443016458854	0.272491393145641	0.781822615438403	0.00504790850965223	0.00833957952499169
B_naive	0.00109307301958496	0.00229891880294751	0.317225060771533	0.781822615438403	0.00622478940538132	0.0130917927274915
Brain_BasalGanglia	0.00144524006593909	0.00721268017640952	0.420593694324605	0.781822615438403	0.00823029650306999	0.0410744884761362
Brain_Cerebellum	0.00197854605530255	0.00997560470594047	0.421390132077561	0.781822615438403	0.0112673465563927	0.0568086828356519
Brain_Cortex	0.000146241525717786	0.00377331133483097	0.484542138174346	0.836936420482961	0.000832810510921333	0.0214881055514292
Brain_Limbic	0.00433173239318665	0.00529544638769822	0.206675507126517	0.781822615438403	0.0246681799156415	0.0301563006133156
Breast_Mammary_Tissue	0.014856991214979	0.00788913892761041	0.0298352197348433	0.781822615438403	0.0846070114748235	0.044926759268852
CD14_Mono	0.00214719954488192	0.00295883293658824	0.234013994922493	0.781822615438403	0.0122277878410132	0.0168498458803431
CD16_Mono	0.00159177293070719	0.0019069263093814	0.201934233467612	0.781822615438403	0.0090647661202004	0.0108594892333793
CD4_Naive	0.000461009477131965	0.00199297454890366	0.408534156650149	0.781822615438403	0.0026253387080408	0.0113495133764445
CD4_TCM	-0.00683354062535466	0.00313297005684268	0.985414581416807	0.985414581416807	-0.0389153794154593	0.0178415151300836
CD4_TEM	-0.000434490521573786	0.00118695770357194	0.642837579822897	0.976649731002711	-0.00247431959893956	0.00675944022535273
CD8_Naive	0.00236041126294014	0.00238963984204625	0.161632988153941	0.781822615438403	0.0134419775793858	0.0136084273465048
CD8_TCM	0.000289204689903825	0.00152715382346856	0.424899475306472	0.781822615438403	0.00164695153703773	0.00869677576007153
CD8_TEM	-0.00246710499174212	0.00191757227095941	0.900879173363457	0.976649731002711	-0.0140495728459118	0.0109201154382654
Cells_Cultured_fibroblasts	-0.00643918304485835	0.00644818667674908	0.841006645382898	0.976649731002711	-0.036669607316961	0.0367208808470904
Colon_Sigmoid	0.00206250427429273	0.00544685873924311	0.352470402244534	0.781822615438403	0.0117454685324187	0.0310185577405644
Colon_Transverse	-0.00428412289700153	0.00491366127608155	0.808363071898274	0.976649731002711	-0.0243970552221044	0.0279821257180043
Esophagus_Mucosa	-0.0074598367442418	0.00713121972621374	0.852238287915325	0.976649731002711	-0.0424819860150444	0.040610590695978
Esophagus_Muscularis	-0.00571777427284779	0.00834258128065739	0.753445496305199	0.976649731002711	-0.0325613569068781	0.0475090050151332
gdT	0.00407298303735385	0.00543856967654904	0.226956622899328	0.781822615438403	0.0231946642218329	0.0309713535110993
Heart_Atrial_Appendage	0.00811388014452676	0.0096183108854222	0.199450170250354	0.781822615438403	0.0462066067455966	0.05477397998532
Heart_Left_Ventricle	0.0104833472930191	0.0135427078972265	0.219437201733752	0.781822615438403	0.0597001554272158	0.077122482330447
Lung	0.011736943359442	0.00780922774664589	0.0664249037117626	0.781822615438403	0.0668390851904442	0.0444716842064117
Muscle_Skeletal	-0.00577728433593949	0.00468698595774713	0.891141680296229	0.976649731002711	-0.0329002524825711	0.0266912639962821
Nerve_Tibial	0.00620018697150071	0.00801689501819093	0.219645783493815	0.781822615438403	0.0353085818422592	0.0456542996480121
NK	-0.000887811958119054	0.00247560628227178	0.640061824692087	0.976649731002711	-0.00505587675466432	0.01409798566214
NK_CD56bright	0.000628377201143969	0.00192667226989125	0.372156800898296	0.781822615438403	0.00357845786528456	0.0109719377556449
Skin_Not_Sun_Exposed_Suprapubic	0.0019476209268049	0.00919389904955721	0.416116552074196	0.781822615438403	0.0110912353462694	0.0523570560908725
Skin_Sun_Exposed_Lower_leg	0.0144585974390023	0.00848948751250261	0.0442730111525308	0.781822615438403	0.0823382542084413	0.0483456008684659
Thyroid	0.00184374655234233	0.0107738075828718	0.432059866426486	0.781822615438403	0.0104996956283732	0.0613542573056481
Treg	-0.000697441946577605	0.000589014567081624	0.881809832046308	0.976649731002711	-0.00397176507162645	0.00335429707905253
Whole_Blood	-0.0039726949512558	0.0056761559593761	0.758002557308158	0.976649731002711	-0.0226235475584043	0.0323243505659231
AllTissues	0.00744630268071458	0.00741880132834818	0.157759935698842	NA	0.0424049127603336	0.0422482991363792
