Tissue	h2_ge_t	h2_ge_t_se	NomP	FDRP	Proph2	Proph2_se
Adipose_Subcutaneous	0.000433469885287946	0.000863524879996116	0.307841745414142	0.77986575504916	0.00701407581372081	0.013972894498319
Adipose_Visceral_Omentum	-0.000532101216482001	0.000848443527866523	0.734719487807743	0.96209390042998	-0.00861005204663432	0.0137288596742156
Artery_Aorta	-0.00151883094375423	0.00102911095953431	0.930010205125081	0.967102466788184	-0.0245765524879325	0.0166522808986134
Artery_Tibial	-0.000583684201013749	0.000960279232937577	0.72834908198283	0.96209390042998	-0.00944472817174351	0.0155384989148475
B_intermediate	0.000530960100377608	0.000383117533921994	0.082889712799704	0.753188227725407	0.00859158738475094	0.00619931284663421
B_memory	0.000175473126643892	0.000258749116535711	0.248835339099195	0.753188227725407	0.00283937098129275	0.00418687890834484
B_naive	-8.23154831473584e-05	0.000313374694031683	0.603599192351235	0.896644431379626	-0.00133196574672101	0.00507078792931526
Brain_BasalGanglia	0.000257965442085479	0.000724557235335208	0.360908362142206	0.845852692742612	0.00417419809199804	0.0117242271089839
Brain_Cerebellum	0.000749537872220103	0.000999301581000754	0.226608763719177	0.753188227725407	0.0121284445343059	0.0161699284951578
Brain_Cortex	0.000508352984353851	0.000428630320446165	0.117812336308505	0.753188227725407	0.0082257764458552	0.00693576570301238
Brain_Limbic	0.000759901136205816	0.000576166265897531	0.0936025938579682	0.753188227725407	0.0122961348900617	0.009323078736206
Breast_Mammary_Tissue	0.000157942938941444	0.000760525517416417	0.417740957818233	0.845852692742612	0.00255571098610751	0.0123062381458967
CD14_Mono	0.000190628915239534	0.000307808445488429	0.26785600743741	0.753188227725407	0.00308461027895686	0.00498071918266066
CD16_Mono	5.59267823227361e-05	0.00025190980268411	0.412152605859321	0.845852692742612	0.000904964115254629	0.00407621039941926
CD4_Naive	-2.70832469474005e-05	0.000436716299572598	0.52472481706195	0.896644431379626	-0.000438240241867322	0.00706660678920061
CD4_TCM	-0.00019356560892461	0.000671086460515903	0.613493558312376	0.896644431379626	-0.00313212959424935	0.0108590042154677
CD4_TEM	0.000133153679413929	0.000216109974137528	0.268901550744475	0.753188227725407	0.00215459028177879	0.00349692514785644
CD8_Naive	-0.000379512038422243	0.000226476582721377	0.953103777294069	0.967102466788184	-0.00614097149550555	0.00366466962332325
CD8_TCM	4.52006493117968e-05	0.000232498357136373	0.422926346371306	0.845852692742612	0.000731402092423896	0.00376210933877626
CD8_TEM	0.000388279475309689	0.000410190438657928	0.171925543538779	0.753188227725407	0.00628283940630565	0.00663738573880142
Cells_Cultured_fibroblasts	0.00277373687631689	0.00103915568493411	0.0038013627441689	0.144451784278418	0.0448824737268105	0.0168148169083189
Colon_Sigmoid	-0.000622798454786285	0.0005730201497516	0.861452884082286	0.967102466788184	-0.0100776448994544	0.00927217070795469
Colon_Transverse	-0.000672183340659082	0.000682093118440115	0.837803742384543	0.967102466788184	-0.0108767530850984	0.0110371054763773
Esophagus_Mucosa	0.000443809097146585	0.000702860808465209	0.263878913718301	0.753188227725407	0.00718137697648196	0.0113731522405374
Esophagus_Muscularis	-0.000171674334775633	0.000923433789467029	0.573741803013419	0.896644431379626	-0.00277790185721089	0.0149422943279455
gdT	-0.00032101631169581	0.000183471413551266	0.959913249639486	0.967102466788184	-0.00519443870057945	0.00296879309953505
Heart_Atrial_Appendage	-0.000182085792251936	0.000772157454245435	0.59321162577211	0.896644431379626	-0.00294637204291159	0.0124944571884375
Heart_Left_Ventricle	0.000501975304295816	0.000850354424269969	0.277490399688308	0.753188227725407	0.0081225777394145	0.013759780327993
Lung	-0.00132314609279997	0.000719172551185123	0.967102466788184	0.967102466788184	-0.0214101309514558	0.0116370962974939
Muscle_Skeletal	0.000411347072206653	0.000590312728773586	0.242954884341332	0.753188227725407	0.00665610149201704	0.00955198590248521
Nerve_Tibial	2.75182794500669e-05	0.00112962026381935	0.490282469441175	0.896644431379626	0.000445279602751892	0.0182786450456206
NK	-0.000519752064748034	0.000378686937395716	0.915047823426001	0.967102466788184	-0.00841022758491964	0.006127620346209
NK_CD56bright	-4.22518405843733e-06	0.000176680516378878	0.509539500720177	0.896644431379626	-6.83686740847464e-05	0.00285890803202068
Skin_Not_Sun_Exposed_Suprapubic	0.00132938113290804	0.00113277500982466	0.120285356093072	0.753188227725407	0.0215110215680913	0.0183296927156094
Skin_Sun_Exposed_Lower_leg	-0.001781232746145	0.00108819023949722	0.949171834139316	0.967102466788184	-0.0288225363453883	0.017608256302544
Thyroid	-0.00061547340785569	0.000873199263217052	0.759547816128932	0.96209390042998	-0.00995911663196909	0.0141294379161335
Treg	-0.000116681266036255	0.000226227584415862	0.696992262405524	0.96209390042998	-0.00188804637599118	0.00366064052452851
Whole_Blood	0.000400927944385562	0.000657079784449352	0.270875823809907	0.753188227725407	0.00648750719070489	0.0106323589716724
AllTissues	0.000628126959919712	0.000815004367218945	0.220441260582175	NA	0.0101638666653675	0.0131877729323454
